stim_id,image_path,domain,family,complexity,seed,n,c1,c2,c2_bin,control,mean,std
r000_agate,images/r000_agate.png,rock,agate,1.00,0,512,1.1919,-0.3605,strong,no,0.3584,0.0120
r001_flow_banded,images/r001_flow_banded.png,rock,flow_banded,1.00,3,512,1.2130,-0.4026,strong,no,0.5094,0.0084
r002_granite,images/r002_granite.png,rock,granite,1.00,3,512,1.1093,-0.4942,strong,no,0.4883,0.0044
r003_marble,images/r003_marble.png,rock,marble,1.00,3,512,1.4181,-0.6041,strong,no,0.6172,0.0067
r004_schist,images/r004_schist.png,rock,schist,1.00,1,512,1.5841,-1.0050,strong,no,0.3198,0.0450
r005_serpentinite,images/r005_serpentinite.png,rock,serpentinite,1.00,2,512,1.3926,-1.1460,strong,no,0.3740,0.0610
r006_turbulent,images/r006_turbulent.png,rock,turbulent,1.00,1,512,1.2989,-0.4792,strong,no,0.1790,0.0047
r007_vesicular,images/r007_vesicular.png,rock,vesicular,1.00,3,512,1.0977,-0.4141,strong,no,0.4725,0.0063
r008_agate,images/r008_agate.png,rock,agate,1.00,3,512,1.2034,-0.2629,moderate,no,0.7662,0.0104
r009_convoluted,images/r009_convoluted.png,rock,convoluted,0.75,3,512,1.3171,-0.2336,moderate,no,0.5570,0.0227
r010_flow_banded,images/r010_flow_banded.png,rock,flow_banded,0.75,1,512,1.2717,-0.2603,moderate,no,0.3707,0.0198
r011_granite,images/r011_granite.png,rock,granite,0.75,2,512,0.9863,-0.2395,moderate,no,0.6181,0.0040
r012_marble,images/r012_marble.png,rock,marble,0.50,3,512,1.5980,-0.2700,moderate,no,0.6193,0.0392
r013_schist,images/r013_schist.png,rock,schist,0.75,0,512,1.3448,-0.2368,moderate,no,0.4688,0.0225
r014_serpentinite,images/r014_serpentinite.png,rock,serpentinite,0.50,1,512,1.2901,-0.2240,moderate,no,0.4935,0.0387
r015_turbulent,images/r015_turbulent.png,rock,turbulent,0.75,0,512,1.2110,-0.2600,moderate,no,0.6447,0.0140
r016_agate,images/r016_agate.png,rock,agate,0.50,0,512,1.4689,-0.1621,mild,no,0.6318,0.0335
r017_convoluted,images/r017_convoluted.png,rock,convoluted,0.50,1,512,1.4764,-0.1443,mild,no,0.4726,0.0510
r018_flow_banded,images/r018_flow_banded.png,rock,flow_banded,0.25,3,512,1.4346,-0.1101,mild,no,0.5090,0.0714
r019_granite,images/r019_granite.png,rock,granite,0.50,0,512,0.9931,-0.1600,mild,no,0.6523,0.0114
