stim_id,image_path,domain,family,complexity,seed,n,c1_level,c2_level,c1,c2,beta,aniso,mean,rms
rk000_convoluted,images/rk000_convoluted.png,rock,convoluted,0.75,4,512,1.276,-0.176,1.2692,-0.1596,2.3485,0.0731,0.4997,0.1434
rk001_convoluted,images/rk001_convoluted.png,rock,convoluted,0.75,3,512,1.276,-0.176,1.2893,-0.1768,2.3711,0.0791,0.4998,0.1388
rk002_convoluted,images/rk002_convoluted.png,rock,convoluted,0.625,12,512,1.276,-0.176,1.3369,-0.1619,2.5482,0.076,0.5008,0.1504
rk003_agate,images/rk003_agate.png,rock,agate,0.625,15,512,1.276,-0.176,1.3048,-0.1984,2.408,0.0874,0.5009,0.1431
rk004_serpentinite,images/rk004_serpentinite.png,rock,serpentinite,0.0,8,512,1.276,-0.176,1.262,-0.1414,2.3705,0.0984,0.5,0.1599
rk005_agate,images/rk005_agate.png,rock,agate,0.625,4,512,1.276,-0.176,1.2731,-0.1816,2.3855,0.103,0.4998,0.143
rk006_agate,images/rk006_agate.png,rock,agate,0.625,2,512,1.276,-0.176,1.2862,-0.1743,2.4206,0.1027,0.5,0.1395
rk007_serpentinite,images/rk007_serpentinite.png,rock,serpentinite,0.125,6,512,1.276,-0.176,1.2858,-0.165,2.329,0.1103,0.5,0.1598
rk008_convoluted,images/rk008_convoluted.png,rock,convoluted,0.625,7,512,1.276,-0.109,1.3209,-0.1153,2.5145,0.0706,0.5011,0.1469
rk009_convoluted,images/rk009_convoluted.png,rock,convoluted,0.75,5,512,1.276,-0.109,1.2312,-0.1093,2.3625,0.0775,0.4991,0.1383
rk010_convoluted,images/rk010_convoluted.png,rock,convoluted,0.625,5,512,1.276,-0.109,1.3113,-0.1275,2.5072,0.0668,0.5001,0.141
rk011_serpentinite,images/rk011_serpentinite.png,rock,serpentinite,0.0,8,512,1.276,-0.109,1.262,-0.1414,2.3705,0.0984,0.5,0.1599
rk012_serpentinite,images/rk012_serpentinite.png,rock,serpentinite,0.375,1,512,1.276,-0.109,1.3259,-0.1256,2.5026,0.104,0.5002,0.1504
rk013_turbulent,images/rk013_turbulent.png,rock,turbulent,0.375,4,512,1.276,-0.109,1.2241,-0.0807,2.4022,0.0622,0.5004,0.147
rk014_serpentinite,images/rk014_serpentinite.png,rock,serpentinite,0.375,0,512,1.276,-0.109,1.3271,-0.1233,2.5286,0.1041,0.5009,0.148
rk015_schist,images/rk015_schist.png,rock,schist,0.25,2,512,1.276,-0.109,1.2885,-0.0611,2.5444,0.0943,0.4996,0.156
rk016_schist,images/rk016_schist.png,rock,schist,0.25,1,512,1.276,-0.042,1.281,-0.0553,2.4965,0.0873,0.5002,0.1561
rk017_schist,images/rk017_schist.png,rock,schist,0.25,0,512,1.276,-0.042,1.2872,-0.0587,2.5133,0.0835,0.5002,0.1546
rk018_granite,images/rk018_granite.png,rock,granite,0.25,7,512,1.276,-0.042,1.2423,-0.034,2.4383,0.0747,0.5004,0.153
rk019_schist,images/rk019_schist.png,rock,schist,0.25,6,512,1.276,-0.042,1.3144,-0.0465,2.5554,0.0862,0.4999,0.1545
rk020_granite,images/rk020_granite.png,rock,granite,0.25,3,512,1.276,-0.042,1.2325,-0.0349,2.4412,0.0834,0.5001,0.1541
rk021_gneiss,images/rk021_gneiss.png,rock,gneiss,0.875,12,512,1.276,-0.042,1.3,-0.0328,2.5214,0.0685,0.5,0.16
rk022_granite,images/rk022_granite.png,rock,granite,0.25,11,512,1.276,-0.042,1.2254,-0.0432,2.4325,0.0819,0.5003,0.1533
rk023_gneiss,images/rk023_gneiss.png,rock,gneiss,0.625,8,512,1.276,-0.042,1.2813,-0.0301,2.4931,0.0645,0.5,0.16
rk024_turbulent,images/rk024_turbulent.png,rock,turbulent,0.0,8,512,1.276,0.024,1.2929,-0.0017,2.5799,0.0924,0.5,0.1595
rk025_turbulent,images/rk025_turbulent.png,rock,turbulent,0.0,14,512,1.276,0.024,1.3092,-0.0043,2.5935,0.0878,0.5,0.1596
