stim_id,parent_id,image_path,c1_level,c2_level,c1,c2,beta,aniso,mean,rms,parent_c1,parent_c2,parent_beta,spec_log_err,marginal_max_err
rk000_convoluted_twin,rk000_convoluted,twins/rk000_convoluted_twin.png,1.276,-0.176,1.1851,-0.0155,2.3445,0.0755,0.4977,0.1435,1.2692,-0.1596,2.3485,0.00386,0.0
rk001_convoluted_twin,rk001_convoluted,twins/rk001_convoluted_twin.png,1.276,-0.176,1.1987,-0.0328,2.3662,0.0814,0.4978,0.1389,1.2893,-0.1768,2.3711,0.00579,0.0
rk002_convoluted_twin,rk002_convoluted,twins/rk002_convoluted_twin.png,1.276,-0.176,1.277,-0.0331,2.5451,0.0716,0.4989,0.1503,1.3369,-0.1619,2.5482,0.00534,0.0
rk003_agate_twin,rk003_agate,twins/rk003_agate_twin.png,1.276,-0.176,1.2027,-0.0393,2.4042,0.0843,0.499,0.1431,1.3048,-0.1984,2.408,0.00338,0.0
rk004_serpentinite_twin,rk004_serpentinite,twins/rk004_serpentinite_twin.png,1.276,-0.176,1.1827,0.0011,2.3694,0.0987,0.498,0.1599,1.262,-0.1414,2.3705,0.00133,0.0
rk005_agate_twin,rk005_agate,twins/rk005_agate_twin.png,1.276,-0.176,1.2004,-0.0342,2.3822,0.1025,0.4979,0.143,1.2731,-0.1816,2.3855,0.0038,0.0
rk006_agate_twin,rk006_agate,twins/rk006_agate_twin.png,1.276,-0.176,1.2287,-0.0377,2.416,0.099,0.4981,0.1395,1.2862,-0.1743,2.4206,0.00588,0.0
rk007_serpentinite_twin,rk007_serpentinite,twins/rk007_serpentinite_twin.png,1.276,-0.176,1.199,-0.0018,2.3273,0.1119,0.498,0.1598,1.2858,-0.165,2.329,0.00197,0.0
rk008_convoluted_twin,rk008_convoluted,twins/rk008_convoluted_twin.png,1.276,-0.109,1.2636,-0.0294,2.511,0.0671,0.4992,0.1468,1.3209,-0.1153,2.5145,0.00313,0.0
rk009_convoluted_twin,rk009_convoluted,twins/rk009_convoluted_twin.png,1.276,-0.109,1.1702,-0.032,2.3581,0.0724,0.4972,0.1383,1.2312,-0.1093,2.3625,0.00438,0.0
rk010_convoluted_twin,rk010_convoluted,twins/rk010_convoluted_twin.png,1.276,-0.109,1.2288,-0.0271,2.5032,0.0672,0.4981,0.141,1.3113,-0.1275,2.5072,0.0045,0.0
rk011_serpentinite_twin,rk011_serpentinite,twins/rk011_serpentinite_twin.png,1.276,-0.109,1.1885,-0.0062,2.3693,0.0977,0.498,0.1599,1.262,-0.1414,2.3705,0.00203,0.0
rk012_serpentinite_twin,rk012_serpentinite,twins/rk012_serpentinite_twin.png,1.276,-0.109,1.2747,-0.0091,2.4996,0.1071,0.4983,0.1504,1.3259,-0.1256,2.5026,0.00749,0.0
rk013_turbulent_twin,rk013_turbulent,twins/rk013_turbulent_twin.png,1.276,-0.109,1.185,-0.0338,2.3977,0.0656,0.4985,0.147,1.2241,-0.0807,2.4022,0.00397,0.0
rk014_serpentinite_twin,rk014_serpentinite,twins/rk014_serpentinite_twin.png,1.276,-0.109,1.3216,-0.0164,2.5262,0.1074,0.499,0.148,1.3271,-0.1233,2.5286,0.00726,0.0
rk015_schist_twin,rk015_schist,twins/rk015_schist_twin.png,1.276,-0.109,1.2899,-0.0078,2.5418,0.0957,0.4977,0.156,1.2885,-0.0611,2.5444,0.00347,0.0
rk016_schist_twin,rk016_schist,twins/rk016_schist_twin.png,1.276,-0.042,1.2865,-0.0053,2.4951,0.0832,0.4983,0.1561,1.281,-0.0553,2.4965,0.00399,0.0
rk017_schist_twin,rk017_schist,twins/rk017_schist_twin.png,1.276,-0.042,1.2767,-0.0198,2.5104,0.0859,0.4982,0.1546,1.2872,-0.0587,2.5133,0.00555,0.0
rk018_granite_twin,rk018_granite,twins/rk018_granite_twin.png,1.276,-0.042,1.2475,-0.0074,2.4363,0.0716,0.4984,0.153,1.2423,-0.034,2.4383,0.00226,0.0
rk019_schist_twin,rk019_schist,twins/rk019_schist_twin.png,1.276,-0.042,1.2961,-0.0106,2.5533,0.0842,0.498,0.1545,1.3144,-0.0465,2.5554,0.00394,0.0
rk020_granite_twin,rk020_granite,twins/rk020_granite_twin.png,1.276,-0.042,1.2697,-0.0154,2.4385,0.0831,0.4982,0.1541,1.2325,-0.0349,2.4412,0.00251,0.0
rk021_gneiss_twin,rk021_gneiss,twins/rk021_gneiss_twin.png,1.276,-0.042,1.2596,-0.0205,2.5122,0.0688,0.498,0.16,1.3,-0.0328,2.5214,0.00783,0.0
rk022_granite_twin,rk022_granite,twins/rk022_granite_twin.png,1.276,-0.042,1.2234,-0.0087,2.4302,0.0801,0.4984,0.1533,1.2254,-0.0432,2.4325,0.00221,0.0
rk023_gneiss_twin,rk023_gneiss,twins/rk023_gneiss_twin.png,1.276,-0.042,1.2651,-0.0219,2.4848,0.0632,0.498,0.16,1.2813,-0.0301,2.4931,0.00693,0.0
rk024_turbulent_twin,rk024_turbulent,twins/rk024_turbulent_twin.png,1.276,0.024,1.323,-0.0062,2.579,0.0967,0.4981,0.1595,1.2929,-0.0017,2.5799,0.00142,0.0
rk025_turbulent_twin,rk025_turbulent,twins/rk025_turbulent_twin.png,1.276,0.024,1.3215,-0.0044,2.5932,0.0908,0.4981,0.1597,1.3092,-0.0043,2.5935,0.00108,0.0
rk026_turbulent_twin,rk026_turbulent,twins/rk026_turbulent_twin.png,1.276,0.024,1.3229,0.0074,2.6166,0.0889,0.498,0.1596,1.3199,-0.0027,2.6172,0.0012,0.0
rk027_granite_twin,rk027_granite,twins/rk027_granite_twin.png,1.276,0.024,1.3253,0.0009,2.7142,0.0773,0.4981,0.1591,1.3469,-0.0113,2.7151,0.00179,0.0
rk028_granite_twin,rk028_granite,twins/rk028_granite_twin.png,1.276,0.024,1.3308,0.0035,2.7044,0.0663,0.4981,0.1586,1.3278,-0.0218,2.7062,0.00208,0.0
rk029_granite_twin,rk029_granite,twins/rk029_granite_twin.png,1.276,0.024,1.3564,-0.0113,2.6954,0.0619,0.4982,0.1584,1.3324,-0.0173,2.6963,0.00168,0.0
rk030_vesicular_twin,rk030_vesicular,twins/rk030_vesicular_twin.png,1.276,0.024,1.3634,-0.005,2.6507,0.0958,0.4982,0.1585,1.3675,-0.0188,2.652,0.00421,0.0
rk031_gneiss_twin,rk031_gneiss,twins/rk031_gneiss_twin.png,1.276,0.024,1.2983,-0.0277,2.6105,0.0518,0.498,0.16,1.3331,-0.0253,2.619,0.00764,0.0
rk032_agate_twin,rk032_agate,twins/rk032_agate_twin.png,1.426,-0.176,1.3401,-0.0338,2.6696,0.0823,0.4989,0.1522,1.3907,-0.1655,2.6728,0.0068,0.0
rk033_agate_twin,rk033_agate,twins/rk033_agate_twin.png,1.426,-0.176,1.3431,-0.0133,2.6413,0.0914,0.4986,0.1508,1.4451,-0.165,2.6439,0.00398,0.0
rk034_agate_twin,rk034_agate,twins/rk034_agate_twin.png,1.426,-0.176,1.3742,-0.0317,2.6968,0.0726,0.4988,0.1491,1.466,-0.1622,2.6999,0.00528,0.0
rk035_weathered_twin,rk035_weathered,twins/rk035_weathered_twin.png,1.426,-0.176,1.3649,-0.0128,2.7591,0.0789,0.498,0.1598,1.4872,-0.19,2.7634,0.01864,0.0
rk036_convoluted_twin,rk036_convoluted,twins/rk036_convoluted_twin.png,1.426,-0.176,1.3457,-0.0298,2.7541,0.0616,0.4981,0.1515,1.4382,-0.1563,2.7573,0.00416,0.0
rk037_weathered_twin,rk037_weathered,twins/rk037_weathered_twin.png,1.426,-0.176,1.3615,-0.0108,2.752,0.0771,0.498,0.1599,1.4809,-0.2101,2.7564,0.00867,0.0
rk038_weathered_twin,rk038_weathered,twins/rk038_weathered_twin.png,1.426,-0.176,1.3578,-0.0113,2.7086,0.0672,0.498,0.1593,1.4674,-0.2116,2.7111,0.00798,0.0
rk039_convoluted_twin,rk039_convoluted,twins/rk039_convoluted_twin.png,1.426,-0.176,1.2738,-0.0473,2.5227,0.075,0.4978,0.1445,1.3662,-0.162,2.5272,0.00464,0.0
rk040_flow_banded_twin,rk040_flow_banded,twins/rk040_flow_banded_twin.png,1.426,-0.109,1.4335,-0.0174,2.8541,0.0785,0.4979,0.1564,1.4503,-0.0929,2.8566,0.00488,0.0
rk041_flow_banded_twin,rk041_flow_banded,twins/rk041_flow_banded_twin.png,1.426,-0.109,1.401,-0.0232,2.7941,0.0899,0.4981,0.1568,1.4346,-0.0942,2.7962,0.00614,0.0
rk042_flow_banded_twin,rk042_flow_banded,twins/rk042_flow_banded_twin.png,1.426,-0.109,1.4048,-0.0074,2.8421,0.0796,0.4983,0.1583,1.4398,-0.089,2.8432,0.00341,0.0
rk043_serpentinite_twin,rk043_serpentinite,twins/rk043_serpentinite_twin.png,1.426,-0.109,1.35,-0.0136,2.6837,0.095,0.4979,0.155,1.4049,-0.0909,2.6846,0.00135,0.0
rk044_serpentinite_twin,rk044_serpentinite,twins/rk044_serpentinite_twin.png,1.426,-0.109,1.3647,-0.0031,2.6473,0.0833,0.4982,0.156,1.379,-0.0931,2.6498,0.00684,0.0
rk045_agate_twin,rk045_agate,twins/rk045_agate_twin.png,1.426,-0.109,1.3893,-0.0403,2.6729,0.084,0.4989,0.1457,1.4356,-0.1295,2.6776,0.00828,0.0
rk046_serpentinite_twin,rk046_serpentinite,twins/rk046_serpentinite_twin.png,1.426,-0.109,1.3328,-0.0022,2.6281,0.097,0.4984,0.1568,1.4027,-0.0953,2.6299,0.00343,0.0
rk047_agate_twin,rk047_agate,twins/rk047_agate_twin.png,1.426,-0.109,1.3944,0.0045,2.8569,0.0619,0.498,0.1568,1.4576,-0.1183,2.8587,0.00302,0.0
rk048_schist_twin,rk048_schist,twins/rk048_schist_twin.png,1.426,-0.042,1.4312,-0.0043,2.7568,0.0814,0.4982,0.1581,1.4074,-0.0315,2.7584,0.00219,0.0
rk049_serpentinite_twin,rk049_serpentinite,twins/rk049_serpentinite_twin.png,1.426,-0.042,1.4436,0.0115,2.8978,0.0879,0.4981,0.1594,1.4432,-0.0435,2.899,0.00374,0.0
rk050_vesicular_twin,rk050_vesicular,twins/rk050_vesicular_twin.png,1.426,-0.042,1.3861,-0.0053,2.7802,0.0876,0.4981,0.1596,1.4117,-0.0309,2.7818,0.00367,0.0
rk051_schist_twin,rk051_schist,twins/rk051_schist_twin.png,1.426,-0.042,1.3885,-0.007,2.7597,0.0866,0.498,0.159,1.3981,-0.0279,2.761,0.003,0.0
rk052_schist_twin,rk052_schist,twins/rk052_schist_twin.png,1.426,-0.042,1.409,0.0011,2.7537,0.0748,0.498,0.1584,1.4027,-0.033,2.7556,0.00431,0.0
rk053_flow_banded_twin,rk053_flow_banded,twins/rk053_flow_banded_twin.png,1.426,-0.042,1.4483,-0.0282,2.8571,0.0858,0.4985,0.1562,1.4467,-0.0612,2.8596,0.01019,0.0
rk054_vesicular_twin,rk054_vesicular,twins/rk054_vesicular_twin.png,1.426,-0.042,1.4357,-0.0078,2.7796,0.0836,0.4981,0.1598,1.4192,-0.0195,2.7824,0.00932,0.0
rk055_vesicular_twin,rk055_vesicular,twins/rk055_vesicular_twin.png,1.426,-0.042,1.4301,0.0063,2.7862,0.0852,0.4981,0.1596,1.4152,-0.0191,2.7868,0.00427,0.0
rk056_granite_twin,rk056_granite,twins/rk056_granite_twin.png,1.426,0.024,1.433,0.0041,2.8692,0.0847,0.498,0.1598,1.4317,0.0038,2.8701,0.00209,0.0
rk057_granite_twin,rk057_granite,twins/rk057_granite_twin.png,1.426,0.024,1.4713,0.0065,2.8819,0.0813,0.498,0.1598,1.4501,0.0027,2.8831,0.00181,0.0
rk058_granite_twin,rk058_granite,twins/rk058_granite_twin.png,1.426,0.024,1.4344,-0.0025,2.8444,0.0775,0.4981,0.1594,1.416,0.0001,2.8459,0.00176,0.0
