domain,c1_level,c2_level,n_candidates,n_families,n_usable_cap3,families
rock,1.1,-0.3,56,5,15,"agate,flow_banded,granite,turbulent,vesicular"
rock,1.1,-0.2,73,8,22,"agate,convoluted,flow_banded,granite,schist,serpentinite,turbulent,vesicular"
rock,1.1,-0.1,47,5,14,"convoluted,granite,schist,turbulent,vesicular"
rock,1.3,-0.3,86,7,20,"agate,convoluted,flow_banded,schist,serpentinite,turbulent,vesicular"
rock,1.3,-0.2,158,7,21,"agate,convoluted,flow_banded,schist,serpentinite,turbulent,vesicular"
rock,1.3,-0.1,128,6,18,"convoluted,flow_banded,schist,serpentinite,turbulent,vesicular"
rock,1.5,-0.3,43,5,10,"flow_banded,marble,schist,turbulent,weathered"
rock,1.5,-0.2,52,6,13,"agate,convoluted,flow_banded,marble,schist,weathered"
rock,1.5,-0.1,74,5,15,"agate,convoluted,flow_banded,serpentinite,weathered"
cloud,1.75,-0.3,23,3,9,"billow,cascade_lognormal,cloud_multifractional"
cloud,1.75,-0.2,25,3,9,"billow,cascade_lognormal,cloud_multifractional"
cloud,1.75,-0.1,24,3,7,"billow,cascade_lognormal,cloud_multifractional"
cloud,1.95,-0.3,61,2,6,"billow,cascade_lognormal"
cloud,1.95,-0.2,57,2,6,"billow,cascade_lognormal"
cloud,1.95,-0.1,55,2,6,"billow,cascade_lognormal"
cloud,2.15,-0.3,21,2,6,"billow,cirrus"
cloud,2.15,-0.2,31,2,4,"billow,cirrus"
cloud,2.15,-0.1,29,2,6,"cirrus,ridged"
fluid,1.65,-0.16,40,2,5,"curl_weave,rheoscopic"
fluid,1.65,-0.06,40,2,6,"curl_weave,rheoscopic"
fluid,1.85,-0.16,15,2,6,"curl_weave,rheoscopic"
fluid,1.85,-0.06,72,2,6,"curl_weave,rheoscopic"
