domain,family,complexity,seed,n,c1,c2,mean,std,gen_s,error
fluid,eddies,,0,512,2.061832,-0.112876,0.498746,0.186043,959.387159,
fluid,eddies,,3,512,2.079600,-0.121918,0.518995,0.184224,965.864740,
fluid,eddies,,6,512,2.074182,-0.106147,0.493492,0.194724,970.455352,
fluid,vorticity,,1,512,2.334061,-0.109798,0.500164,0.117993,998.943756,
fluid,eddies,,2,512,2.053452,-0.136224,0.513124,0.186222,1000.297780,
fluid,eddies,,5,512,2.058013,-0.129982,0.500181,0.199173,1016.716208,
cloud,billow,0.000,0,512,1.929208,-0.173268,0.500000,0.138729,22.722708,
fluid,vorticity,,2,512,2.383477,-0.094789,0.541567,0.118524,1023.925444,
fluid,eddies,,1,512,2.061880,-0.113128,0.510981,0.189566,1024.203377,
fluid,vorticity,,0,512,2.335968,-0.110826,0.548031,0.117243,1030.970628,
fluid,vorticity,,3,512,2.347298,-0.096413,0.528511,0.118520,1038.028852,
cloud,billow,0.000,1,512,1.838342,-0.148954,0.500000,0.121698,26.221944,
cloud,billow,0.000,3,512,1.973620,-0.120265,0.500001,0.112724,18.931718,
fluid,eddies,,7,512,2.062730,-0.112762,0.495097,0.192487,1045.605614,
cloud,billow,0.000,2,512,2.049400,-0.183030,0.500000,0.129940,23.278558,
fluid,eddies,,4,512,2.046278,-0.105114,0.494654,0.194652,1048.658106,
cloud,billow,0.000,4,512,1.981552,-0.142636,0.500000,0.128707,25.659612,
cloud,billow,0.000,5,512,1.994798,-0.119526,0.500000,0.121807,25.733980,
cloud,billow,0.000,8,512,1.920224,-0.144945,0.500000,0.111178,17.355157,
cloud,billow,0.000,7,512,1.914795,-0.142814,0.500000,0.135056,18.484741,
cloud,billow,0.000,6,512,1.977214,-0.129480,0.500000,0.151892,25.608492,
cloud,billow,0.000,9,512,2.000007,-0.161482,0.500001,0.118977,20.370147,
cloud,billow,0.000,10,512,1.935380,-0.126879,0.500000,0.144456,25.518283,
cloud,billow,0.000,11,512,1.976803,-0.130241,0.499999,0.122521,24.113394,
cloud,billow,0.100,4,512,2.020776,-0.155091,0.500000,0.125693,18.382302,
cloud,billow,0.100,0,512,1.945238,-0.191135,0.500000,0.135327,32.657043,
cloud,billow,0.100,3,512,1.962384,-0.125396,0.500000,0.107189,23.860486,
cloud,billow,0.100,2,512,2.019914,-0.207639,0.500000,0.121719,26.114657,
cloud,billow,0.100,5,512,1.998530,-0.162752,0.500000,0.117547,22.912141,
cloud,billow,0.100,1,512,1.843708,-0.161704,0.500000,0.119420,33.789628,
cloud,billow,0.100,7,512,1.975297,-0.135120,0.500000,0.132769,17.917359,
cloud,billow,0.100,6,512,1.957000,-0.200937,0.500001,0.140981,23.849674,
cloud,billow,0.100,9,512,1.980932,-0.193387,0.500000,0.113750,21.217279,
cloud,billow,0.100,8,512,1.905634,-0.163298,0.500001,0.111448,22.463919,
cloud,billow,0.100,10,512,1.925802,-0.167575,0.500001,0.139155,21.353840,
cloud,billow,0.100,11,512,1.978189,-0.176465,0.500000,0.119097,27.612028,
cloud,billow,0.200,1,512,1.812889,-0.204734,0.500000,0.115752,25.422233,
cloud,billow,0.200,2,512,2.037057,-0.217163,0.500000,0.120243,26.453978,
cloud,billow,0.200,0,512,1.966247,-0.209859,0.500000,0.132279,30.395082,
cloud,billow,0.200,3,512,1.973725,-0.159875,0.500000,0.106688,31.239343,
cloud,billow,0.200,5,512,2.025818,-0.162025,0.500000,0.112062,23.530078,
cloud,billow,0.200,4,512,2.016710,-0.166255,0.500001,0.122272,28.798551,
cloud,billow,0.200,6,512,2.004469,-0.224987,0.500001,0.136071,29.811996,
cloud,billow,0.200,7,512,1.924892,-0.188699,0.499999,0.127649,25.543027,
cloud,billow,0.200,9,512,1.988762,-0.205706,0.500000,0.108707,24.266752,
cloud,billow,0.200,8,512,1.933890,-0.178875,0.500000,0.112143,34.002986,
cloud,billow,0.200,10,512,1.971649,-0.184565,0.500000,0.134508,31.456237,
cloud,billow,0.300,0,512,1.961834,-0.217229,0.500001,0.123323,26.850643,
cloud,billow,0.200,11,512,1.949378,-0.230202,0.499999,0.114027,29.795935,
cloud,billow,0.300,2,512,2.008094,-0.232575,0.500000,0.114965,27.401447,
cloud,billow,0.300,1,512,1.811881,-0.215597,0.500000,0.118956,33.193943,
cloud,billow,0.300,4,512,2.011974,-0.170478,0.500000,0.120734,25.103161,
cloud,billow,0.300,3,512,1.965488,-0.198423,0.500001,0.102513,30.758389,
cloud,billow,0.300,5,512,2.022396,-0.189255,0.500000,0.108382,27.468342,
cloud,billow,0.300,8,512,1.885709,-0.193037,0.500000,0.108767,23.123126,
cloud,billow,0.300,6,512,2.025496,-0.255427,0.499999,0.133020,34.474742,
cloud,billow,0.300,7,512,1.926520,-0.205677,0.500000,0.125346,34.694414,
cloud,billow,0.300,11,512,1.939032,-0.258131,0.500000,0.111241,23.944955,
cloud,billow,0.300,10,512,1.961301,-0.196706,0.500000,0.136070,27.066927,
cloud,billow,0.400,0,512,2.020166,-0.247335,0.500001,0.122238,25.808039,
cloud,billow,0.300,9,512,1.997422,-0.243329,0.500001,0.104695,34.568464,
cloud,billow,0.400,1,512,1.812064,-0.235219,0.499999,0.112361,21.974538,
cloud,billow,0.400,2,512,2.029264,-0.251673,0.500000,0.111940,30.903825,
cloud,billow,0.400,4,512,2.014048,-0.221943,0.500000,0.121091,26.691485,
cloud,billow,0.400,3,512,1.958136,-0.253959,0.499999,0.096251,31.509790,
cloud,billow,0.400,6,512,2.047466,-0.284735,0.500000,0.125502,24.671287,
cloud,billow,0.400,5,512,2.037827,-0.236666,0.499999,0.106013,29.271398,
cloud,billow,0.400,9,512,2.066413,-0.250535,0.500000,0.099536,24.244135,
cloud,billow,0.400,7,512,1.960005,-0.219674,0.500001,0.121903,34.467969,
cloud,billow,0.400,8,512,1.907883,-0.235468,0.499999,0.109246,33.521787,
cloud,billow,0.400,10,512,1.983730,-0.232938,0.500000,0.148338,27.513316,
cloud,billow,0.500,1,512,1.804640,-0.247171,0.500000,0.112284,25.269690,
cloud,billow,0.500,0,512,1.993623,-0.261423,0.500000,0.120741,27.266798,
cloud,billow,0.400,11,512,1.972280,-0.262355,0.500001,0.108462,32.333112,
cloud,billow,0.500,3,512,1.948325,-0.271394,0.500000,0.100361,26.368554,
cloud,billow,0.500,2,512,2.008411,-0.267655,0.500000,0.107136,32.624829,
cloud,billow,0.500,4,512,2.034749,-0.259641,0.500000,0.118430,30.614473,
cloud,billow,0.500,5,512,2.010238,-0.234211,0.500001,0.104510,33.199388,
cloud,billow,0.500,7,512,1.960051,-0.249101,0.500000,0.118079,24.944962,
cloud,billow,0.500,6,512,2.051326,-0.313407,0.500000,0.124945,33.084512,
cloud,billow,0.500,8,512,1.900985,-0.281037,0.500000,0.111762,34.599324,
cloud,billow,0.500,10,512,1.968729,-0.254177,0.500000,0.140397,29.745386,
cloud,billow,0.500,9,512,2.008729,-0.286133,0.500000,0.097042,32.000778,
cloud,billow,0.500,11,512,1.920590,-0.288872,0.500000,0.113527,38.233396,
cloud,billow,0.600,2,512,2.020012,-0.300389,0.499999,0.111303,25.139429,
cloud,billow,0.600,1,512,1.810852,-0.256638,0.500000,0.110486,28.772450,
cloud,billow,0.600,0,512,2.024853,-0.266868,0.499999,0.114702,35.610322,
cloud,billow,0.600,3,512,1.989897,-0.278904,0.500000,0.095496,28.124824,
cloud,billow,0.600,5,512,2.062022,-0.238901,0.499999,0.101696,29.865788,
cloud,billow,0.600,4,512,1.999168,-0.260271,0.500000,0.114504,33.962228,
cloud,billow,0.600,6,512,2.004606,-0.340724,0.500000,0.133385,37.570180,
cloud,billow,0.600,8,512,1.917986,-0.272956,0.500000,0.106840,27.402723,
cloud,billow,0.600,7,512,1.958754,-0.285200,0.500000,0.116136,30.842530,
cloud,billow,0.600,10,512,1.935504,-0.283342,0.499999,0.126924,27.563659,
cloud,billow,0.600,11,512,1.932283,-0.267359,0.500000,0.104690,31.535712,
cloud,billow,0.600,9,512,2.012127,-0.278000,0.500000,0.093570,44.526440,
cloud,billow,0.700,0,512,2.017076,-0.324660,0.500001,0.113564,35.367048,
cloud,billow,0.700,4,512,2.030655,-0.267777,0.499999,0.114007,27.109005,
cloud,billow,0.700,1,512,1.797143,-0.262207,0.499999,0.109287,37.572087,
cloud,billow,0.700,3,512,2.025712,-0.281449,0.499999,0.092747,37.058670,
cloud,billow,0.700,5,512,2.097208,-0.254842,0.499999,0.108633,33.009503,
cloud,billow,0.700,6,512,2.034554,-0.380625,0.500000,0.124501,34.960894,
cloud,billow,0.700,8,512,1.917133,-0.314330,0.500000,0.108617,26.716516,
cloud,billow,0.700,2,512,2.071533,-0.330116,0.500001,0.107348,53.617212,
cloud,billow,0.700,7,512,1.928523,-0.297137,0.500001,0.116399,41.079419,
cloud,billow,0.700,9,512,2.005553,-0.326404,0.500000,0.091742,34.232953,
cloud,billow,0.800,0,512,2.038781,-0.346378,0.500001,0.115250,35.037316,
cloud,billow,0.700,11,512,1.934838,-0.308776,0.500001,0.107434,35.393080,
cloud,billow,0.700,10,512,1.914503,-0.321491,0.500000,0.126070,47.648301,
cloud,billow,0.800,1,512,1.785783,-0.266731,0.500000,0.106230,37.835058,
cloud,billow,0.800,3,512,2.037561,-0.324438,0.500000,0.096746,32.864106,
cloud,billow,0.800,4,512,2.004971,-0.295169,0.499999,0.111126,31.896769,
cloud,billow,0.800,2,512,2.023389,-0.368618,0.499999,0.098489,40.388600,
cloud,billow,0.800,5,512,2.087481,-0.300836,0.499999,0.098011,45.173195,
cloud,billow,0.800,7,512,1.967400,-0.314984,0.499999,0.111332,35.885633,
cloud,billow,0.800,8,512,1.946448,-0.303507,0.499999,0.098264,37.779566,
cloud,billow,0.800,10,512,1.926382,-0.331467,0.500001,0.111615,30.647607,
cloud,billow,0.800,9,512,2.021425,-0.322915,0.500001,0.087744,36.841371,
